,0,1,2,3,4,5,6,7,8,9,10,11
Osmaniye,0.023778523905141565,0.5355963364871802,0.3268087156550919,-0.221716805908975,0.018396455635284963,-0.23315395158172902,-0.19984994132221248,-0.1814695624108616,-0.4028768916582642,0.28558190474395423,-0.012237426267521409,0.4301417241962635
Niğde,-0.2660911470341812,0.016299442645738394,0.06140845412164653,-0.7416194011998392,-0.4812933863649428,-0.21933532361952907,0.04778718796636001,0.24386694819123414,-0.0024571171089050065,0.149394906744272,0.08443002939540054,0.0648087803987521
Tokat,-0.7083424049828132,-0.16288753846061516,-0.2506958887311071,0.10166291199392419,0.3099877518138294,0.25386239610719435,0.08402568034131404,0.0868492834622851,0.4205589668676747,-0.20464157006109704,-0.06359218289411854,-0.024521273496975474
Bilecik,0.5722695816446305,-0.007813177850275455,0.5538190741437699,0.003192725921057303,0.1564923252975582,0.3331127819385614,-0.015942923699322663,0.3809786437199311,0.006393128969321165,0.07230478012230739,-0.032040940423720535,-0.28030763002004655
Muş,0.23325856420144964,0.353215626770903,-0.04972624712764021,0.1534623138644638,-0.5339726005841272,0.3511787894378387,0.007871818877359204,0.11312056472938871,-0.004244550538269471,0.24408674317315077,0.432446680311049,-0.3562131216905857
Ağrı,0.28122386803983396,0.09964207790776716,-0.0234789771181829,0.1784459836226066,-0.002074339394799097,-0.25217438107588136,0.27798244568144076,-0.36881091187235443,0.10506305599284513,0.5665216364843677,0.21943620548622045,-0.4707028278241237
Hatay,0.18273820903305843,0.09856060922479137,0.16109938721107928,-0.24491221087475845,-0.27538088247139436,-0.24577737932562604,-0.025552398300232683,-0.1602576319366459,-0.3886706475118178,0.09591078402484579,-0.31430473630426337,0.6703206303022009
Kırşehir,-0.42312179021417085,0.1046000275952892,0.08156922976422008,-0.5669300343299417,0.15438673661252275,-0.4732649179603983,0.17470717951126374,0.2545064548766397,0.04405381413504737,-0.20542603571149598,0.12582047865199936,-0.28085781653099307
Bayburt,-0.06598171843996364,-0.2227710364144593,-0.0475221650284067,0.15466367707711765,-0.009135813824546039,-0.34562314174381453,-0.1970834595476844,-0.44379085147258235,0.2859463329154432,0.5360622748477797,-0.3580948492287899,-0.2591317252719847
Erzincan,0.008111868070763861,0.3083297244294225,-0.04643044161225489,0.18707643549374023,-0.1948031639740716,-0.2746693979940401,-0.35874269684178706,-0.384355081001102,0.424887036754098,0.22137538934328205,-0.3993985821156878,-0.2980631038594656
Siirt,0.005893981257546296,0.38478852713358713,0.04149614288296671,0.24046538598099776,-0.6950292771946915,0.27658670629777643,0.308726332155159,-0.04680397013431197,-0.2203980704200726,-0.23600825029897526,0.09707799621454141,0.14693439214255458
Karabük,0.1668870252942512,-0.19471438929486046,0.16691388761767775,0.16751860612376143,0.3886364423794715,-0.022576375209883856,-0.080690075447299,0.6852815734786133,0.2726161367693436,0.13645819099084494,-0.13306416889143194,0.3741605656217183
Kilis,-0.08633682853726604,0.40752016947988057,0.1922737031507204,-0.042157377574770054,0.19638942473949292,0.10241025640145844,-0.058273372512362545,-0.3544809413367961,-0.5325614321223399,0.08369448144830749,0.09355986427611583,0.5569899085304613
