"","sigma","year","ppp","ppn","pnn","nnn","sb","wsb"
"201",5,2018,75,2,52,0,0.984496124031008,0.984496124031008
"202",10,2018,262,50,334,20,0.894894894894895,0.924924924924925
"203",15,2018,381,150,1172,280,0.78315683308119,0.924357034795764
"204",20,2018,462,319,2381,850,0.708624127617149,0.92048853439681
"205",25,2018,521,485,3786,1783,0.655057034220532,0.926235741444867
"206",30,2018,610,682,5454,3070,0.617766911165444,0.930521597392013
"207",35,2018,674,886,6907,4347,0.591618542219447,0.930856875292649
"208",40,2018,750,1083,8571,5913,0.571244714101857,0.933627505056077
"209",45,2018,811,1208,10133,7756,0.549728752260398,0.939320876029737
"210",50,2018,847,1464,12171,10292,0.52547025106967,0.940905788326471
"211",55,2018,905,1727,14239,13014,0.506742512966371,0.942211811945792
"212",60,2018,955,1916,16188,15893,0.49047264820325,0.945181963836118
"213",65,2018,1043,2215,18330,19174,0.47527108581522,0.945660173691183
"214",70,2018,1115,2630,20848,23042,0.461068542038417,0.944788495853889
"215",75,2018,1171,2989,22993,26658,0.449053167567969,0.944453736224935
"216",80,2018,1223,3315,25105,30908,0.43480702217965,0.945252762134399
"217",85,2018,1294,3630,27030,34435,0.426636942867041,0.945322267243067
"218",90,2018,1408,4125,29051,37485,0.422636639886775,0.942763185280773
"219",95,2018,1422,4189,29137,37603,0.422371494519772,0.94210169866346
"220",100,2018,1291,3605,26825,34508,0.424527019885549,0.94556765163297
"221",5,2019,73,2,37,0,0.982142857142857,0.982142857142857
"222",10,2019,272,17,283,25,0.92964824120603,0.971524288107203
"223",15,2019,357,112,1053,223,0.808022922636103,0.935816618911175
"224",20,2019,429,262,2235,926,0.691588785046729,0.931983385254413
"225",25,2019,529,404,3601,1626,0.670454545454545,0.934415584415584
"226",30,2019,598,585,4964,2669,0.630898366606171,0.933643375680581
"227",35,2019,643,768,6402,3935,0.599676540687777,0.934627170582227
"228",40,2019,702,933,7904,5219,0.583141347065998,0.936780051497493
"229",45,2019,763,1177,9718,7311,0.552533080288892,0.937951394380305
"230",50,2019,846,1465,11787,9788,0.528887214267772,0.93866700159089
"231",55,2019,908,1671,13753,12233,0.513250481358306,0.941501837913531
"232",60,2019,995,1981,16089,15047,0.500820825515947,0.941926594746717
"233",65,2019,1042,2246,18120,18213,0.48363241715252,0.943312889629237
"234",70,2019,1108,2573,20068,21695,0.465980107384913,0.943380864360532
"235",75,2019,1177,2947,22430,25478,0.453701568265683,0.943361777367774
"236",80,2019,1270,3373,24972,29491,0.443981998443474,0.942933035563225
"237",85,2019,1440,4120,27891,33439,0.43849603827179,0.938406338765137
"238",90,2019,1528,4496,29856,36271,0.43497664620033,0.937686241354936
"239",95,2019,1580,4576,30604,37381,0.434091798060452,0.938279764233016
"240",100,2019,1456,3925,28741,35741,0.432231653378756,0.943818616435023
"241",5,2020,77,0,27,0,1,1
"242",10,2020,255,29,292,21,0.916247906197655,0.95142378559464
"243",15,2020,372,121,1035,195,0.816598955310505,0.929773650609402
"244",20,2020,464,261,2155,660,0.739830508474576,0.926271186440678
"245",25,2020,523,355,3328,1296,0.69992729916394,0.935478007997092
"246",30,2020,591,553,4723,2248,0.654836722119532,0.931854590264941
"247",35,2020,669,722,6333,3470,0.625513668036448,0.93550116133643
"248",40,2020,732,964,8191,5439,0.582213232415503,0.937100352342425
"249",45,2020,791,1187,9846,7291,0.556473973319383,0.93790217106984
"250",50,2020,858,1449,11926,9770,0.53260009165521,0.939632545931758
"251",55,2020,907,1687,13748,12227,0.512968602331198,0.940949980748364
"252",60,2020,1011,2128,16288,15187,0.499768879644075,0.938521985323857
"253",65,2020,1064,2469,18555,18902,0.478628933886314,0.93976579653574
"254",70,2020,1127,2730,20825,22671,0.463582032817351,0.942347897704475
"255",75,2020,1214,3189,23288,26721,0.450305079761817,0.94139160479306
"256",80,2020,1283,3584,25737,30515,0.442088384953942,0.94136029712528
"257",85,2020,1355,4012,28048,34355,0.433864541832669,0.940799763907334
"258",90,2020,1419,4354,29710,36923,0.429922934563434,0.939866861862277
"259",95,2020,1394,4190,28969,36286,0.428619828060814,0.940851790680275
"260",100,2020,1263,3693,27200,33931,0.430689848230363,0.944119115711108
